"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag"
"2009-01-01","EU-28","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","18.2",""
"2009-01-01","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","12.0","E"
"2009-01-01","Belgium","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","20.8","W"
"2009-01-01","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","11.9","E"
"2009-01-01","Denmark","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","9.8","N"
"2009-01-01","Germany","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","10.6","W"
"2009-01-01","Estonia","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","23.1","N"
"2009-01-01","Ireland","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","18.9","W"
"2009-01-01","Greece","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","26.0","S"
"2009-01-01","Spain","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","32.9","S"
"2009-01-01","France","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","22.0","W"
"2009-01-01","Croatia","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","26.4","E"
"2009-01-01","Italy","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","23.3","S"
"2009-01-01","Cyprus","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","9.7","S"
"2009-01-01","Latvia","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","26.8","N"
"2009-01-01","Lithuania","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","21.8","N"
"2009-01-01","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","18.5","W"
"2009-01-01","Hungary","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","22.7","E"
"2009-01-01","Malta","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","12.5","S"
"2009-01-01","Netherlands","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","8.8","W"
"2009-01-01","Austria","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","9.9","W"
"2009-01-01","Poland","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","17.7","E"
"2009-01-01","Portugal","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","23.7","S"
"2009-01-01","Romania","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","18.7","E"
"2009-01-01","Slovenia","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","12.9","E"
"2009-01-01","Slovakia","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","21.2","E"
"2009-01-01","Finland","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","17.9","N"
"2009-01-01","Sweden","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","22.1","N"
"2009-01-01","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","17.0","W"
"2009-01-01","Iceland","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","12.7","N"
"2009-01-01","Norway","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","8.8","N"
"2009-01-01","Turkey","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","22.4","X"
"2009-01-01","USA","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","15.0","X"
"2009-01-01","Japan","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","7.9","X"
"2009-02-01","EU-28","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","19.0",""
"2009-02-01","Belgium","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","20.8",""
"2009-02-01","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","12.7",""
"2009-02-01","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","13.2",""
"2009-02-01","Denmark","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","10.2",""
"2009-02-01","Germany","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","10.9",""
"2009-02-01","Estonia","Seasonally adjusted data, not calendar adjusted data","Less than 25 years","Percentage of active population","Total","22.1",""
